Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),7 Day Total Sales ,Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),Number of Days,Key,Short Key,Impressions Per Day,Spend Per Day,Sales Per Day
9-Jun-21,9-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,10 inch dinner plate for kids,1,1,100.00%,1.36,0.0,1.36,0,0.0,1,10 inch dinner plate for kids Rainforest Broad Ad Group kids plates,10 inch dinner plate for kids Rainforest,1.0,1.36,0.0
28-May-21,28-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,ahimsa plates kids,1,1,100.00%,1.58,0.0,1.58,0,0.0,1,ahimsa plates kids Rainforest Broad Ad Group kids plates,ahimsa plates kids Rainforest,1.0,1.58,0.0
3-Jun-21,3-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,anime kids plates,2,1,50.00%,1.33,0.0,1.33,0,0.0,1,anime kids plates Rainforest Broad Ad Group kids plates,anime kids plates Rainforest,2.0,1.33,0.0
4-Jun-21,4-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,batman plates for kids,13,1,7.69%,0.71,0.0,0.71,0,0.0,1,batman plates for kids Rainforest Broad Ad Group kids plates,batman plates for kids Rainforest,13.0,0.71,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,bear kids plate set,4,1,25.00%,1.11,0.0,1.11,0,0.0,1,bear kids plate set Rainforest Broad Ad Group kids plates,bear kids plate set Rainforest,4.0,1.11,0.0
9-Jun-21,9-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,best eco friendly plates for kids,3,1,33.33%,1.36,0.0,1.36,0,0.0,1,best eco friendly plates for kids Rainforest Broad Ad Group kids plates,best eco friendly plates for kids Rainforest,3.0,1.36,0.0
6-Jun-21,6-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,biobu kids plates,23,1,4.35%,1.35,0.0,1.35,0,0.0,1,biobu kids plates Rainforest Broad Ad Group kids plates,biobu kids plates Rainforest,23.0,1.35,0.0
9-Jun-21,9-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,dinner plate for kids scratch resistant 10 inch,3,1,33.33%,1.24,0.0,1.24,0,0.0,1,dinner plate for kids scratch resistant 10 inch Rainforest Broad Ad Group kids plates,dinner plate for kids scratch resistant 10 inch Rainforest,3.0,1.24,0.0
30-May-21,3-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,dinner winner kids plate,274,2,0.73%,1.75,0.0,3.49,0,0.0,4,dinner winner kids plate Rainforest Broad Ad Group kids plates,dinner winner kids plate Rainforest,68.5,0.8725,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,dinosaur plate kids,65,1,1.54%,0.95,0.0,0.95,0,0.0,1,dinosaur plate kids Rainforest Broad Ad Group kids plates,dinosaur plate kids Rainforest,65.0,0.95,0.0
26-May-21,4-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,dishwasher safe kids plates,102,6,5.88%,1.88,24.99,11.27,45.10%,2.22,9,dishwasher safe kids plates Rainforest Broad Ad Group kids plates,dishwasher safe kids plates Rainforest,11.333333333333334,1.2522222222222221,2.7766666666666664
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,ekobo kids plate,5,1,20.00%,0.28,0.0,0.28,0,0.0,1,ekobo kids plate Rainforest Broad Ad Group kids plates,ekobo kids plate Rainforest,5.0,0.28,0.0
30-May-21,30-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,face plate for kids,321,2,0.62%,0.92,0.0,1.83,0,0.0,1,face plate for kids Rainforest Broad Ad Group kids plates,face plate for kids Rainforest,321.0,1.83,0.0
4-Jun-21,4-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,food face plates for kids,2,1,50.00%,1.82,0.0,1.82,0,0.0,1,food face plates for kids Rainforest Broad Ad Group kids plates,food face plates for kids Rainforest,2.0,1.82,0.0
27-May-21,30-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kid friendly plates,13,3,23.08%,1.72,0.0,5.15,0,0.0,3,kid friendly plates Rainforest Broad Ad Group kids plates,kid friendly plates Rainforest,4.333333333333333,1.7166666666666668,0.0
2-Jun-21,6-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kid plate set,99,2,2.02%,1.16,0.0,2.31,0,0.0,4,kid plate set Rainforest Broad Ad Group kids plates,kid plate set Rainforest,24.75,0.5775,0.0
12-Jun-21,12-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kid plates blue,8,1,12.50%,0.88,0.0,0.88,0,0.0,1,kid plates blue Rainforest Broad Ad Group kids plates,kid plates blue Rainforest,8.0,0.88,0.0
1-Jun-21,1-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kid plates set,135,1,0.74%,1.74,24.99,1.74,6.96%,14.36,1,kid plates set Rainforest Broad Ad Group kids plates,kid plates set Rainforest,135.0,1.74,24.99
1-Jun-21,1-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kid safe plates,23,1,4.35%,1.18,0.0,1.18,0,0.0,1,kid safe plates Rainforest Broad Ad Group kids plates,kid safe plates Rainforest,23.0,1.18,0.0
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids birthday plates and napkin sets,1,1,100.00%,1.47,0.0,1.47,0,0.0,1,kids birthday plates and napkin sets Rainforest Broad Ad Group kids plates,kids birthday plates and napkin sets Rainforest,1.0,1.47,0.0
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids bowls and plates,5,1,20.00%,1.75,24.99,1.75,7.00%,14.28,1,kids bowls and plates Rainforest Broad Ad Group kids plates,kids bowls and plates Rainforest,5.0,1.75,24.99
1-Jun-21,1-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids bowls and plates set,17,1,5.88%,1.75,0.0,1.75,0,0.0,1,kids bowls and plates set Rainforest Broad Ad Group kids plates,kids bowls and plates set Rainforest,17.0,1.75,0.0
31-May-21,31-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids deep plates,2,1,50.00%,1.75,0.0,1.75,0,0.0,1,kids deep plates Rainforest Broad Ad Group kids plates,kids deep plates Rainforest,2.0,1.75,0.0
31-May-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids dinner plates,105,4,3.81%,1.59,0.0,6.37,0,0.0,10,kids dinner plates Rainforest Broad Ad Group kids plates,kids dinner plates Rainforest,10.5,0.637,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids firetruck plate,39,1,2.56%,0.61,0.0,0.61,0,0.0,1,kids firetruck plate Rainforest Broad Ad Group kids plates,kids firetruck plate Rainforest,39.0,0.61,0.0
31-May-21,31-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids food plate,7,1,14.29%,1.84,0.0,1.84,0,0.0,1,kids food plate Rainforest Broad Ad Group kids plates,kids food plate Rainforest,7.0,1.84,0.0
10-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids lunch plate,3,1,33.33%,1.01,0.0,1.01,0,0.0,1,kids lunch plate Rainforest Broad Ad Group kids plates,kids lunch plate Rainforest,3.0,1.01,0.0
25-May-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids melamine plates,43,3,6.98%,1.45,0.0,4.35,0,0.0,16,kids melamine plates Rainforest Broad Ad Group kids plates,kids melamine plates Rainforest,2.6875,0.271875,0.0
5-Jun-21,5-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids non toxic plates,7,1,14.29%,1.9,0.0,1.9,0,0.0,1,kids non toxic plates Rainforest Broad Ad Group kids plates,kids non toxic plates Rainforest,7.0,1.9,0.0
27-May-21,5-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plate set,418,5,1.20%,1.33,0.0,6.66,0,0.0,9,kids plate set Rainforest Broad Ad Group kids plates,kids plate set Rainforest,46.44444444444444,0.74,0.0
31-May-21,9-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plate sets for boys,9,2,22.22%,1.47,0.0,2.93,0,0.0,9,kids plate sets for boys Rainforest Broad Ad Group kids plates,kids plate sets for boys Rainforest,1.0,0.3255555555555556,0.0
12-Jun-21,12-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates bpa free,2,1,50.00%,1.66,0.0,1.66,0,0.0,1,kids plates bpa free Rainforest Broad Ad Group kids plates,kids plates bpa free Rainforest,2.0,1.66,0.0
30-May-21,30-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates bulk,42,1,2.38%,1.06,0.0,1.06,0,0.0,1,kids plates bulk Rainforest Broad Ad Group kids plates,kids plates bulk Rainforest,42.0,1.06,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates melamine noahs ark,2,1,50.00%,1.18,0.0,1.18,0,0.0,1,kids plates melamine noahs ark Rainforest Broad Ad Group kids plates,kids plates melamine noahs ark Rainforest,2.0,1.18,0.0
6-Jun-21,6-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates montessori,5,1,20.00%,1.35,0.0,1.35,0,0.0,1,kids plates montessori Rainforest Broad Ad Group kids plates,kids plates montessori Rainforest,5.0,1.35,0.0
3-Jun-21,3-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates neutral,3,1,33.33%,1.11,0.0,1.11,0,0.0,1,kids plates neutral Rainforest Broad Ad Group kids plates,kids plates neutral Rainforest,3.0,1.11,0.0
28-May-21,28-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates set,21,1,4.76%,1.76,0.0,1.76,0,0.0,1,kids plates set Rainforest Broad Ad Group kids plates,kids plates set Rainforest,21.0,1.76,0.0
10-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates set 9 in,3,1,33.33%,1.82,0.0,1.82,0,0.0,1,kids plates set 9 in Rainforest Broad Ad Group kids plates,kids plates set 9 in Rainforest,3.0,1.82,0.0
7-Jun-21,8-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids plates with lids,8,2,25.00%,1.38,0.0,2.76,0,0.0,1,kids plates with lids Rainforest Broad Ad Group kids plates,kids plates with lids Rainforest,8.0,2.76,0.0
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids reusable plates,71,1,1.41%,1.77,0.0,1.77,0,0.0,1,kids reusable plates Rainforest Broad Ad Group kids plates,kids reusable plates Rainforest,71.0,1.77,0.0
28-May-21,28-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids serving plate,2,1,50.00%,2.16,0.0,2.16,0,0.0,1,kids serving plate Rainforest Broad Ad Group kids plates,kids serving plate Rainforest,2.0,2.16,0.0
8-Jun-21,9-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kids stackable plates,3,2,66.67%,1.14,0.0,2.28,0,0.0,1,kids stackable plates Rainforest Broad Ad Group kids plates,kids stackable plates Rainforest,3.0,2.28,0.0
5-Jun-21,5-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,kinto kids plate,4,1,25.00%,1.88,0.0,1.88,0,0.0,1,kinto kids plate Rainforest Broad Ad Group kids plates,kinto kids plate Rainforest,4.0,1.88,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,little kid plates sets,6,1,16.67%,1.29,0.0,1.29,0,0.0,1,little kid plates sets Rainforest Broad Ad Group kids plates,little kid plates sets Rainforest,6.0,1.29,0.0
31-May-21,8-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,melamine kids plates,64,5,7.81%,1.52,24.99,7.62,30.49%,3.28,8,melamine kids plates Rainforest Broad Ad Group kids plates,melamine kids plates Rainforest,8.0,0.9525,3.12375
31-May-21,12-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,melamine plates for kids,25,5,20.00%,1.79,0.0,8.95,0,0.0,12,melamine plates for kids Rainforest Broad Ad Group kids plates,melamine plates for kids Rainforest,2.0833333333333335,0.7458333333333332,0.0
28-May-21,6-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,melamine plates kids,41,4,9.76%,1.44,24.99,5.77,23.09%,4.33,9,melamine plates kids Rainforest Broad Ad Group kids plates,melamine plates kids Rainforest,4.555555555555555,0.6411111111111111,2.7766666666666664
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,metal kids plates,92,1,1.09%,1.2,0.0,1.2,0,0.0,1,metal kids plates Rainforest Broad Ad Group kids plates,metal kids plates Rainforest,92.0,1.2,0.0
5-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,paintable plates for kids,1927,4,0.21%,0.66,0.0,2.63,0,0.0,5,paintable plates for kids Rainforest Broad Ad Group kids plates,paintable plates for kids Rainforest,385.4,0.526,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,pasta plates for kids,10,2,20.00%,1.84,24.99,3.68,14.73%,6.79,1,pasta plates for kids Rainforest Broad Ad Group kids plates,pasta plates for kids Rainforest,10.0,3.68,24.99
31-May-21,4-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,pillowfort plates kids,20,2,10.00%,1.59,0.0,3.17,0,0.0,4,pillowfort plates kids Rainforest Broad Ad Group kids plates,pillowfort plates kids Rainforest,5.0,0.7925,0.0
10-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids plates,BROAD,pizza plate for kids,2,1,50.00%,1.19,0.0,1.19,0,0.0,1,pizza plate for kids Rainforest Broad Ad Group kids plates,pizza plate for kids Rainforest,2.0,1.19,0.0
25-May-21,25-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,plate for kids to eat,2,1,50.00%,1.19,0.0,1.19,0,0.0,1,plate for kids to eat Rainforest Broad Ad Group kids plates,plate for kids to eat Rainforest,2.0,1.19,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids plates,BROAD,recycle plates kids,180,3,1.67%,1.51,0.0,4.52,0,0.0,1,recycle plates kids Rainforest Broad Ad Group kids plates,recycle plates kids Rainforest,180.0,4.52,0.0
30-May-21,30-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,10 oz kids bowls,3,1,33.33%,1.57,0.0,1.57,0,0.0,1,10 oz kids bowls Rainforest Broad Ad Group kids bowls,10 oz kids bowls Rainforest,3.0,1.57,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,12 oz kids bowls,5,1,20.00%,1.64,0.0,1.64,0,0.0,1,12 oz kids bowls Rainforest Broad Ad Group kids bowls,12 oz kids bowls Rainforest,5.0,1.64,0.0
6-Jun-21,6-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,14oz bowls kids,3,1,33.33%,1.59,0.0,1.59,0,0.0,1,14oz bowls kids Rainforest Broad Ad Group kids bowls,14oz bowls kids Rainforest,3.0,1.59,0.0
27-May-21,6-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bamboo bowls for kids,52,3,5.77%,1.55,0.0,4.66,0,0.0,10,bamboo bowls for kids Rainforest Broad Ad Group kids bowls,bamboo bowls for kids Rainforest,5.2,0.466,0.0
27-May-21,7-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bamboo bowls kids,568,10,1.76%,1.8,49.98,18.04,36.09%,2.77,11,bamboo bowls kids Rainforest Broad Ad Group kids bowls,bamboo bowls kids Rainforest,51.63636363636363,1.64,4.543636363636363
31-May-21,12-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bamboo kids bowls,95,4,4.21%,1.65,24.99,6.61,26.45%,3.78,12,bamboo kids bowls Rainforest Broad Ad Group kids bowls,bamboo kids bowls Rainforest,7.916666666666667,0.5508333333333334,2.0825
12-Jun-21,12-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bowl kids,8,1,12.50%,1.47,0.0,1.47,0,0.0,1,bowl kids Rainforest Broad Ad Group kids bowls,bowl kids Rainforest,8.0,1.47,0.0
27-May-21,10-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bowls for kids,1159,13,1.12%,1.77,99.96,23.03,23.04%,4.34,14,bowls for kids Rainforest Broad Ad Group kids bowls,bowls for kids Rainforest,82.78571428571429,1.645,7.14
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bowls kids,13,1,7.69%,1.33,0.0,1.33,0,0.0,1,bowls kids Rainforest Broad Ad Group kids bowls,bowls kids Rainforest,13.0,1.33,0.0
10-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,bpa free kids bowls,7,1,14.29%,2.11,0.0,2.11,0,0.0,1,bpa free kids bowls Rainforest Broad Ad Group kids bowls,bpa free kids bowls Rainforest,7.0,2.11,0.0
8-Jun-21,8-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,cereal bowl for kids,175,1,0.57%,1.1,0.0,1.1,0,0.0,1,cereal bowl for kids Rainforest Broad Ad Group kids bowls,cereal bowl for kids Rainforest,175.0,1.1,0.0
1-Jun-21,1-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,cereal bowl kids,15,1,6.67%,1.5,0.0,1.5,0,0.0,1,cereal bowl kids Rainforest Broad Ad Group kids bowls,cereal bowl kids Rainforest,15.0,1.5,0.0
29-May-21,7-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,cereal bowls for kids,93,3,3.23%,1.53,0.0,4.6,0,0.0,9,cereal bowls for kids Rainforest Broad Ad Group kids bowls,cereal bowls for kids Rainforest,10.333333333333334,0.5111111111111111,0.0
28-May-21,11-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,cereal bowls kids,23,3,13.04%,1.53,0.0,4.59,0,0.0,14,cereal bowls kids Rainforest Broad Ad Group kids bowls,cereal bowls kids Rainforest,1.6428571428571428,0.32785714285714285,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,craft bowls for kids,20,1,5.00%,0.78,0.0,0.78,0,0.0,1,craft bowls for kids Rainforest Broad Ad Group kids bowls,craft bowls for kids Rainforest,20.0,0.78,0.0
27-May-21,27-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,dishwasher safe kids bowls,3,1,33.33%,2.04,0.0,2.04,0,0.0,1,dishwasher safe kids bowls Rainforest Broad Ad Group kids bowls,dishwasher safe kids bowls Rainforest,3.0,2.04,0.0
10-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,durable bowls for kids,1,1,100.00%,1.58,0.0,1.58,0,0.0,1,durable bowls for kids Rainforest Broad Ad Group kids bowls,durable bowls for kids Rainforest,1.0,1.58,0.0
8-Jun-21,8-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,green bowls for kids,1,1,100.00%,1.49,24.99,1.49,5.96%,16.77,1,green bowls for kids Rainforest Broad Ad Group kids bowls,green bowls for kids Rainforest,1.0,1.49,24.99
5-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,gyro bowl - the no spill bowl for kids,15,2,13.33%,1.39,0.0,2.77,0,0.0,5,gyro bowl - the no spill bowl for kids Rainforest Broad Ad Group kids bowls,gyro bowl - the no spill bowl for kids Rainforest,3.0,0.554,0.0
7-Jun-21,7-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kid cereal bowl,171,1,0.58%,1.37,0.0,1.37,0,0.0,1,kid cereal bowl Rainforest Broad Ad Group kids bowls,kid cereal bowl Rainforest,171.0,1.37,0.0
31-May-21,31-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kid cereal bowls,56,1,1.79%,1.58,0.0,1.58,0,0.0,1,kid cereal bowls Rainforest Broad Ad Group kids bowls,kid cereal bowls Rainforest,56.0,1.58,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kid safe bowls,3,1,33.33%,1.66,0.0,1.66,0,0.0,1,kid safe bowls Rainforest Broad Ad Group kids bowls,kid safe bowls Rainforest,3.0,1.66,0.0
5-Jun-21,5-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kid size bowls,160,1,0.63%,1.42,0.0,1.42,0,0.0,1,kid size bowls Rainforest Broad Ad Group kids bowls,kid size bowls Rainforest,160.0,1.42,0.0
6-Jun-21,10-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids bamboo bowls,20,2,10.00%,1.49,0.0,2.97,0,0.0,4,kids bamboo bowls Rainforest Broad Ad Group kids bowls,kids bamboo bowls Rainforest,5.0,0.7425,0.0
7-Jun-21,7-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids bowl with lid,14,1,7.14%,1.08,0.0,1.08,0,0.0,1,kids bowl with lid Rainforest Broad Ad Group kids bowls,kids bowl with lid Rainforest,14.0,1.08,0.0
2-Jun-21,2-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids bowls dishwasher safe,11,1,9.09%,1.31,0.0,1.31,0,0.0,1,kids bowls dishwasher safe Rainforest Broad Ad Group kids bowls,kids bowls dishwasher safe Rainforest,11.0,1.31,0.0
27-May-21,12-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids bowls set,99,5,5.05%,1.44,49.98,7.21,14.43%,6.93,16,kids bowls set Rainforest Broad Ad Group kids bowls,kids bowls set Rainforest,6.1875,0.450625,3.12375
4-Jun-21,11-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids cereal bowl,28,2,7.14%,1.23,0.0,2.46,0,0.0,7,kids cereal bowl Rainforest Broad Ad Group kids bowls,kids cereal bowl Rainforest,4.0,0.3514285714285714,0.0
26-May-21,31-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids cereal bowls,70,2,2.86%,1.56,0.0,3.11,0,0.0,5,kids cereal bowls Rainforest Broad Ad Group kids bowls,kids cereal bowls Rainforest,14.0,0.622,0.0
25-May-21,25-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids lunch bamboo bowl,1,1,100.00%,0.88,29.99,0.88,2.93%,34.08,1,kids lunch bamboo bowl Rainforest Broad Ad Group kids bowls,kids lunch bamboo bowl Rainforest,1.0,0.88,29.99
5-Jun-21,5-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids lunch bowl safe,2,1,50.00%,1.12,0.0,1.12,0,0.0,1,kids lunch bowl safe Rainforest Broad Ad Group kids bowls,kids lunch bowl safe Rainforest,2.0,1.12,0.0
26-May-21,26-May-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids lunch bowls sets for school,2,1,50.00%,1.08,0.0,1.08,0,0.0,1,kids lunch bowls sets for school Rainforest Broad Ad Group kids bowls,kids lunch bowls sets for school Rainforest,2.0,1.08,0.0
1-Jun-21,7-Jun-21,Rainforest,Broad Ad Group,kids bowls,BROAD,kids melamine bowls,349,4,1.15%,1.29,0.0,5.14,0,0.0,6,kids melamine bowls Rainforest Broad Ad Group kids bowls,kids melamine bowls Rainforest,58.166666666666664,0.8566666666666666,0.0
